"Plot Title: 2. rope nursery. 10/03/22"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21258717, SEN S/N: 21258717, LBL: Temp)","Intensity, Lux (LGR S/N: 21258717, SEN S/N: 21258717, LBL: Light)","Coupler Attached (LGR S/N: 21258717)","Host Connected (LGR S/N: 21258717)","Stopped (LGR S/N: 21258717)","End Of File (LGR S/N: 21258717)"
138,03/11/22 03:50:00 PM,27.468,2325.0,,,,
139,03/11/22 04:00:00 PM,27.567,5511.1,,,,
140,03/11/22 04:10:00 PM,27.567,3100.0,,,,
141,03/11/22 04:20:00 PM,27.665,3100.0,,,,
142,03/11/22 04:30:00 PM,27.665,4994.5,,,,
143,03/11/22 04:40:00 PM,27.665,3272.2,,,,
144,03/11/22 04:50:00 PM,27.665,3272.2,,,,
145,03/11/22 05:00:00 PM,27.468,2755.6,,,,
146,03/11/22 05:10:00 PM,27.468,1345.5,,,,
147,03/11/22 05:20:00 PM,27.370,914.9,,,,
148,03/11/22 05:30:00 PM,27.370,527.4,,,,
149,03/11/22 05:40:00 PM,27.272,236.8,,,,
150,03/11/22 05:50:00 PM,27.272,96.9,,,,
151,03/11/22 06:00:00 PM,27.272,43.1,,,,
152,03/11/22 06:10:00 PM,27.272,10.8,,,,
153,03/11/22 06:20:00 PM,27.272,0.0,,,,
154,03/11/22 06:30:00 PM,27.370,0.0,,,,
155,03/11/22 06:40:00 PM,27.370,0.0,,,,
156,03/11/22 06:50:00 PM,27.370,0.0,,,,
157,03/11/22 07:00:00 PM,27.370,0.0,,,,
158,03/11/22 07:10:00 PM,27.370,0.0,,,,
159,03/11/22 07:20:00 PM,27.468,0.0,,,,
160,03/11/22 07:30:00 PM,27.468,0.0,,,,
161,03/11/22 07:40:00 PM,27.468,0.0,,,,
162,03/11/22 07:50:00 PM,27.468,0.0,,,,
163,03/11/22 08:00:00 PM,27.468,0.0,,,,
164,03/11/22 08:10:00 PM,27.567,0.0,,,,
165,03/11/22 08:20:00 PM,27.567,0.0,,,,
166,03/11/22 08:30:00 PM,27.567,0.0,,,,
167,03/11/22 08:40:00 PM,27.567,0.0,,,,
168,03/11/22 08:50:00 PM,27.567,0.0,,,,
169,03/11/22 09:00:00 PM,27.567,0.0,,,,
170,03/11/22 09:10:00 PM,27.567,0.0,,,,
171,03/11/22 09:20:00 PM,27.468,0.0,,,,
172,03/11/22 09:30:00 PM,27.468,0.0,,,,
